"key";"ru";"hy-AM"
"business.advertisements.create.schedule.hours2";"2 часа";"2 ժամ"
"business.advertisements.create.schedule.hours3";"3 часа";"3 ժամ"
"business.advertisements.create.schedule.hours4";"4 часа";"4 ժամ"
"business.advertisements.create.schedule.minutes15";"15 минут";"15 րոպե"
"business.advertisements.create.schedule.minutes30";"30 минут";"30 րոպե"
"business.advertisements.create.schedule.monday";"Понедельник";"Երկուշաբթի"
"business.advertisements.create.schedule.saturday";"Суббота";"Շաբաթ"
"business.advertisements.create.schedule.slotStep";"Шаг слота бронирования";"Ամրագրումների քայլ"
"business.advertisements.create.schedule.slotStepHint";"Минимальный интервал между бронированиями";"Նվազագույն միջակայք ամրագրումների միջև"
"business.advertisements.create.schedule.subtitle";"Установите рабочие часы для каждого дня недели";"Կարգավորել աշխատանքային ժամերը շաբաթվա յուրաքանչյուր օր"
"business.advertisements.create.schedule.sunday";"Воскресенье";"Կիրակի"
"business.advertisements.create.schedule.thursday";"Четверг";"Հինգշաբթի"
"business.advertisements.create.schedule.title";"Рабочее расписание";"Աշխատանքային ժամանակացույց"
"business.advertisements.create.schedule.tuesday";"Вторник";"Երեքշաբթի"
"business.advertisements.create.schedule.wednesday";"Среда";"Չորեքշաբթի"
"business.advertisements.create.schedule.workDays";"Рабочие дни";"Աշխատանքային օրեր"
"business.advertisements.create.sections.general";"Общая информация";"Ընդհանուր տեղեկություն"
"business.advertisements.create.sections.portfolio";"Портфолио";"Պորտֆոլիո"
"business.advertisements.create.sections.pricing";"Ценообразование";"Գնավորում"
"business.advertisements.create.sections.schedule";"Расписание";"Ժամանակացույց"
"business.advertisements.create.sections.services";"Услуги";"Ծառայություններ"
"business.advertisements.create.sections.team";"Команда";"Թիմ"
"business.advertisements.create.services.addService";"Добавить услугу";"Ավելացնել ծառայություն"
"business.advertisements.create.services.createTemplates";"Создайте шаблоны в Настройках";"Ստեղծեք կաղապարներ Կարգավորումներում"
"business.advertisements.create.services.days";"Дни";"Օրեր"
"business.advertisements.create.services.duration";"Длительность";"Տևողություն"
"business.advertisements.create.services.durationUnit";"Единица";"Միավոր"
"business.advertisements.create.services.hours";"Часы";"ժամ"
"business.advertisements.create.services.manualEntry";"Ввести вручную";"Ձեռքով մուտք"
"business.advertisements.create.services.noServices";"Услуги не добавлены";"Ծառայություններ չեն ավելացվել"
"business.advertisements.create.services.price";"Цена";"Գին"
"business.advertisements.create.services.selectOrManual";"Выберите шаблон или введите вручную";"Ընտրեք կաղապար կամ մուտքագրեք ձեռքով"
"business.advertisements.create.services.selectTemplate";"Выбрать шаблон";"Ընտրեք կաղապար"
"business.advertisements.create.services.serviceDescription";"Описание";"Նկարագրություն"
"business.advertisements.create.services.serviceDescriptionPlaceholder";"Опишите услугу";"Նկարագրեք ծառայությունը"
"business.advertisements.create.services.serviceName";"Название услуги";"Ծառայության անուն"
"business.advertisements.create.services.serviceNamePlaceholder";"Введите название услуги";"Մուտքագրեք ծառայության անունը"
"business.advertisements.create.services.serviceNumber";"Услуга #{number}";"Ծառայություն #{number}"
"business.advertisements.create.services.templateHint";"Создайте шаблоны услуг в ";"Ստեղծեք ծառայության կաղապարներ՝ "
"business.advertisements.create.services.templateHintLink";"Настройках";"Կարգավորումներ"
"business.advertisements.create.services.templateHintSuffix";" для быстрого выбора";" արագ ընտրության համար"
"business.advertisements.create.services.title";"Услуги";"Ծառայություններ"
"business.advertisements.create.subtitle";"Заполните информацию для публикации вашего объявления на маркетплейсе";"Լրացրեք տեղեկությունները՝ հայտարարությունը շուկայում հրապարակելու համար"
"business.advertisements.create.team.noMembers";"Нет участников команды";"Թիմի անդամներ չկան"
"business.advertisements.create.team.selected";"Выбрано";"Ընտրված"
"business.advertisements.create.team.title";"Участники команды";"Թիմի անդամներ"
"business.advertisements.create.title";"Создать объявление";"Ստեղծել հայտարարություն"
"business.advertisements.createButton";"Создать объявление";"Ստեղծել հայտարարություն"
"business.advertisements.deleteConfirm.confirm";"Удалить";"Ջնջել"
"business.advertisements.deleteConfirm.message";"Вы уверены, что хотите удалить объявление ""{title}""?";"Վստա՞հ եք, որ ցանկանում եք ջնջել «{title}»-ը։ Գործողությունը հնարավոր չէ հետ կանչել։"
"business.advertisements.deleteConfirm.title";"Удалить объявление?";"Ջնջե՞լ հայտարարությունը"
"business.advertisements.description";"Создавайте и управляйте объявлениями о ваших услугах. Добавляйте описания, фотографии, цены и расписание. Ваши объявления будут видны клиентам на маркетплейсе.";"Կառավարել ծառայության հայտարարությունները"
"business.advertisements.loadError";"Ошибка загрузки";"Բեռնման սխալ"
"business.advertisements.myAds";"Мои объявления";"Իմ հայտարարությունները"
"business.advertisements.myAdsDescription";"Управление вашими объявлениями на маркетплейсе";"Կառավարեք ձեր հայտարարությունները շուկայում"
